,Unnamed: 0,file,internet,leur,present,75015,inform,abon,cook,societ,donne,boissieu,san,lien,suiv,fair,ordin,legal,client,tous,etre,lor,ver,cet,ains,titr,public,permet,engag,reserv,respect,propriet,not,general,realis,objet,navig,offre
44,44,0044.txt,0.1363636363636363,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.2272727272727272,0.2272727272727272,0.1363636363636363,0.1818181818181818,0.2272727272727272,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.1363636363636363,0.0,0.0909090909090909,0.0,0.1363636363636363,0.1363636363636363,0.1363636363636363,0.0,0.1363636363636363,0.0,0.0,0.0,0.0,0.0,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.0
45,45,0045.txt,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.1153846153846153,0.1923076923076923,0.0769230769230769,0.1538461538461538,0.1923076923076923,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0,0.1153846153846153,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0,0.1153846153846153
46,46,0046.txt,0.217391304347826,0.1739130434782608,0.217391304347826,0.1739130434782608,0.1739130434782608,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1739130434782608,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.0,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0,0.0,0.0869565217391304,0.0,0.0
47,47,0047.txt,0.0769230769230769,0.1538461538461538,0.1923076923076923,0.1153846153846153,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.1538461538461538,0.0,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.1153846153846153,0.0,0.0,0.1153846153846153,0.0,0.1153846153846153,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1153846153846153,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769
48,48,0048.txt,0.1071428571428571,0.1428571428571428,0.1428571428571428,0.1785714285714285,0.1071428571428571,0.0,0.1071428571428571,0.1785714285714285,0.0,0.1428571428571428,0.1071428571428571,0.1071428571428571,0.0,0.1071428571428571,0.1428571428571428,0.0,0.1071428571428571,0.1071428571428571,0.0,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0
49,49,0049.txt,0.16,0.12,0.12,0.16,0.08,0.12,0.12,0.16,0.12,0.12,0.16,0.12,0.12,0.12,0.0,0.08,0.08,0.08,0.0,0.12,0.08,0.12,0.08,0.08,0.08,0.0,0.08,0.08,0.12,0.12,0.08,0.08,0.0,0.0,0.08,0.12
50,50,0050.txt,0.0,0.0833333333333333,0.2083333333333333,0.125,0.125,0.125,0.125,0.1666666666666666,0.1666666666666666,0.2083333333333333,0.125,0.0833333333333333,0.125,0.0833333333333333,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0833333333333333,0.125,0.0833333333333333,0.0,0.0833333333333333,0.125,0.0,0.0833333333333333,0.0,0.125,0.0,0.0,0.0,0.0,0.0833333333333333
51,51,0051.txt,0.2083333333333333,0.0833333333333333,0.125,0.1666666666666666,0.25,0.125,0.1666666666666666,0.2083333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.2083333333333333,0.0833333333333333,0.125,0.125,0.0,0.0833333333333333,0.125,0.125,0.125,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.125,0.0833333333333333,0.125,0.0,0.125,0.0833333333333333,0.125,0.125
52,52,0052.txt,0.2,0.12,0.0,0.2,0.16,0.2,0.12,0.16,0.12,0.2,0.16,0.08,0.12,0.16,0.2,0.08,0.12,0.0,0.12,0.0,0.08,0.12,0.0,0.08,0.0,0.12,0.12,0.0,0.08,0.08,0.08,0.0,0.0,0.08,0.0,0.08
53,53,0053.txt,0.1818181818181818,0.1363636363636363,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0,0.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.0,0.1363636363636363,0.0,0.0909090909090909,0.0909090909090909
